Invoice ID,Timestamp,Items Summary,Subtotal (GBP),VAT 20% (GBP),Total Due (GBP),Net Margin Profit (GBP),Payment Method,Salesperson
"SP-967143","2026-08-11T13:46:07.143Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-190284","2026-08-13T08:53:10.284Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,0.00,380.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-257268","2026-08-13T08:54:17.268Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","whatsapp"
"SP-476242","2026-08-13T08:57:56.242Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-635689","2026-08-13T09:00:35.689Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","whatsapp"
"SP-909897","2026-08-13T09:05:09.897Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R) | hg (Qty:1, Size:N/A)",390.00,78.00,468.00,250.00,"Cash","Rumel Ahmed","","","","none"
"SP-153390","2026-08-13T09:09:13.391Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-809607","2026-08-13T09:20:09.607Z","Savile Row Bespoke Tuxedo - Midnight Blue / 38R (Qty:1, Size:38R)",699.00,139.80,838.80,449.00,"Cash","Rumel Ahmed","","","","none"
"SP-850479","2026-08-13T09:20:50.480Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 42R (Qty:1, Size:42R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-690013","2026-08-13T09:34:50.013Z","Savile Row Bespoke Tuxedo - Midnight Blue / 38R (Qty:1, Size:38R)",699.00,139.80,838.80,449.00,"Cash","Rumel Ahmed","","","","none"
